User_ID,Time,Long,Lat,Country_Code
28006064@N02,2012-08-24 17:28:39.0,116.486588,39.971162,29
17643132@N00,2012-02-12 11:15:58.0,-88.24356,20.677759,119
75905404@N00,2008-12-07 09:03:32.0,151.153635,-33.913787,8
93452909@N00,2005-10-31 22:57:26.0,176.256237,-38.153457,159
97863854@N00,2006-07-30 17:21:31.0,123.969211,9.758376,172
85313980@N00,2010-03-07 19:20:08.0,138.500862,36.686867,88
76529721@N00,2009-06-24 13:57:40.0,-3.140367,55.925923,206
7589404@N04,2012-11-18 10:44:05.0,135.834703,34.68464,88
30769448@N00,2008-07-12 08:48:09.0,-63.380302,46.491024,23
48744982@N07,2011-03-09 21:39:40.0,76.947555,8.496396,82
40817698@N07,2013-06-22 10:15:15.0,-1.511306,48.635858,64
35032604@N00,2010-10-02 07:19:22.0,76.441497,15.35819,82
92865134@N00,2008-12-21 14:09:28.0,-46.656875,-23.548251,20
68835868@N00,2009-05-25 20:59:47.0,2.1744,41.403568,187
74937968@N00,2005-10-09 13:17:48.0,16.348514,48.20946,56
66458073@N00,2011-08-19 05:55:08.0,-21.060362,63.956833,81
65303257@N00,2000-01-11 01:35:55.0,100.517692,13.740385,194
87652690@N00,2013-12-13 08:08:46.0,33.166437,10.545533,189
93452909@N00,2005-11-07 23:55:06.0,172.64122,-43.529633,159
16483298@N00,2008-12-25 19:30:13.0,-1.857044,50.872413,206
45524939@N00,2010-09-24 23:50:16.0,13.387656,52.482597,71
21301563@N06,2003-08-09 12:59:20.0,-87.956714,17.921331,14
42139601@N00,2010-01-17 16:27:55.0,139.704833,35.644999,88
88488885@N00,2007-12-30 11:54:38.0,108.932512,34.253476,29
72245999@N00,2009-12-15 13:52:12.0,2.297065,48.856809,64
13416711@N00,2006-07-06 20:57:43.0,-7.717895,53.376774,50
69754957@N00,2007-07-31 14:09:48.0,-73.55808,45.56027,23
61577908@N00,2005-03-19 15:29:38.0,27.353903,37.94364,201
44124368329@N01,2008-07-04 21:27:20.0,30.392324,59.948973,174
24046097@N00,2006-08-03 11:39:53.0,121.468105,31.224545,29
37996594423@N01,2006-01-15 17:01:20.0,120.967712,14.6188,172
97863854@N00,2009-07-16 03:44:04.0,123.913055,9.6275,172
18432837@N00,2011-01-30 13:04:30.0,2.162083,41.395283,187
12247055@N00,2014-02-26 12:49:04.0,-61.764782,17.008334,0
15558793@N07,2008-01-01 00:00:00.0,105.422658,10.396649,215
21274446@N05,2012-06-06 11:32:00.0,-8.541526,52.511624,50
82394503@N00,2008-06-19 02:36:46.0,19.050636,47.499343,80
95819651@N00,2009-08-09 05:05:43.0,35.373401,31.317347,84
28316081@N00,2010-11-24 06:00:05.0,-3.160994,55.943384,206
30531374@N00,2004-11-19 09:36:02.0,135.855474,34.672605,88
43077608@N00,2010-07-28 12:31:32.0,11.5921,48.152557,71
11245787@N02,2007-06-05 13:19:01.0,.470352,7.152844,68
80081757@N00,2011-07-26 18:58:26.0,-123.371577,48.428107,23
35034346053@N01,2011-05-18 06:43:45.0,-4.379974,56.181298,206
84013956@N00,2012-12-25 14:44:00.0,-88.230398,19.001622,119
15500786@N07,2010-11-27 16:52:05.0,99.885892,17.035038,194
75698896@N00,2012-08-18 07:38:52.0,12.53339,55.667527,44
67958110@N00,2006-11-13 20:48:25.0,-68.337192,12.220743,226
62313790@N00,2009-01-17 17:05:14.0,139.729522,35.638061,88
62606667@N04,2008-03-23 15:29:26.0,7.400734,43.74543,137
47397741@N00,2009-03-01 13:23:19.0,-89.34185,13.492589,54
59525567@N00,2009-04-18 04:16:16.0,24.75048,42.144123,21
66142667@N00,2011-09-14 15:02:34.0,18.612122,53.011786,163
12693966@N07,2011-07-03 15:25:50.0,-79.383194,43.66146,23
12284993@N00,2007-12-15 18:52:37.0,144.968376,-37.811259,8
53834128@N06,2013-10-14 22:17:27.0,-79.702217,43.73962,23
93352468@N00,2013-10-30 11:22:29.0,16.313555,48.183924,56
41894169878@N01,2012-07-17 17:34:24.0,23.888053,47.926652,170
14199805@N06,2012-01-25 14:50:45.0,-.174643,51.497572,206
22294289@N00,2008-08-17 09:40:02.0,13.401882,52.530092,71
91346160@N00,2009-07-05 11:18:20.0,-3.599626,37.175,187
76144963@N00,2010-03-22 08:20:00.0,139.625415,35.144967,88
31477369@N00,2008-07-07 05:44:06.0,127.058236,37.513708,95
29705797@N00,2011-04-30 14:35:17.0,4.887166,52.379833,153
8502118@N08,2012-01-18 10:47:54.0,-70.651031,-33.431606,32
25530545@N04,2006-12-09 21:09:36.0,114.142196,22.3577,129
98334721@N00,2012-08-27 16:59:14.0,16.25439,38.999561,85
82525539@N00,2008-08-19 13:10:54.0,55.308265,25.091817,227
73277476@N00,2007-06-27 11:10:28.0,-21.11701,64.258055,81
87989454@N00,2011-12-14 08:59:16.0,139.737832,35.663319,88
9537980@N02,2010-04-01 16:44:06.0,-84.089452,10.045641,38
24711978@N00,2007-05-09 17:11:50.0,75.331878,19.896534,82
25653648@N08,2013-06-07 17:10:30.0,2.367166,48.844666,64
17559409@N00,2012-11-10 21:53:54.0,76.655322,12.303777,82
25393258@N07,2006-02-13 22:09:49.0,100.56777,14.355921,194
18432837@N00,2010-02-14 16:54:06.0,114.986013,-33.977353,8
33882008@N00,2012-05-12 12:28:13.0,-79.534149,8.951682,164
81346977@N00,2007-07-25 13:30:05.0,-90.963363,16.861226,119
98334721@N00,2005-07-14 09:12:43.0,15.776367,-25.264568,217
71747189@N00,2007-04-23 07:44:23.0,12.39438,47.455516,56
26532540@N00,2008-05-11 10:39:32.0,-10.361909,52.178037,50
14966804@N03,2008-10-22 08:57:45.0,13.407794,52.51906,71
79981524@N03,2012-07-14 16:07:24.0,-7.810764,55.081806,50
61577908@N00,2005-12-30 16:07:11.0,-77.027034,-12.045742,161
65642485@N00,2004-08-16 23:53:13.0,23.786634,38.038323,73
14136614@N03,2013-12-03 19:13:05.0,144.965329,-37.811758,8
68174069@N00,2004-08-21 16:17:11.0,17.391357,46.807109,80
20711027@N07,2011-10-26 11:48:42.0,9.989318,53.554229,71
20359630@N00,2007-03-19 14:29:58.0,-86.887146,20.882044,119
47448228@N07,2013-10-13 03:31:47.0,31.271295,29.963263,49
22671828@N00,2001-07-01 16:53:24.0,-6.015014,57.234476,206
34166506@N00,2006-12-04 21:33:41.0,-84.473533,10.083882,38
15454356@N00,2010-12-10 17:29:18.0,152.968633,-27.533225,8
67381643@N00,2008-08-02 20:46:37.0,139.661936,35.799785,88
7702423@N04,2008-07-05 13:35:35.0,-82.985873,42.336325,23
41894169358@N01,2007-08-22 00:34:16.0,-66.043399,18.411082,173
82879002@N00,2009-08-06 10:19:09.0,2.333918,48.860169,64
58255533@N03,2011-03-18 11:20:20.0,108.416666,11.933333,215
32267947@N06,1983-08-07 12:00:33.0,139.676582,35.763636,88
95819651@N00,2008-08-01 11:42:25.0,12.476879,41.898579,85
96982545@N00,2007-01-29 19:10:38.0,55.329551,25.270933,227
32778574@N04,2008-11-11 07:18:06.0,-79.543569,8.915944,164
11537264@N00,2013-06-19 14:17:39.0,-72.509218,-13.225981,161
71035721@N00,2011-09-29 10:57:06.0,137.629,36.336666,88
21301563@N06,2007-02-15 12:05:22.0,2.121262,48.804574,64
51035749109@N01,2009-11-18 18:54:06.0,21.009238,52.244309,163
54058921@N00,2013-07-11 17:59:16.0,106.915758,47.902505,109
66142667@N00,2012-03-31 12:19:50.0,135.761947,34.991313,88
70759724@N00,2006-09-27 12:59:53.0,-87.117397,20.581196,119
32916425@N04,2010-03-28 16:34:51.0,8.254337,49.363706,71
59353887@N00,2010-03-06 06:52:41.0,-6.27242,53.339502,50
7457894@N04,2011-04-22 08:36:03.0,23.286209,-19.632401,181
9329852@N08,1999-08-01 00:00:00.0,13.693068,52.581853,71
66762699@N00,2011-04-04 10:03:59.0,-3.592679,37.178851,187
57505599@N00,2007-08-03 22:57:40.0,-79.382872,43.645547,23
27168489@N00,2009-12-13 15:14:54.0,113.315048,23.007068,29
36786209@N00,2009-10-16 17:12:13.0,12.482475,41.905954,85
8502118@N08,2012-11-18 07:01:11.0,34.798541,-2.513353,204
19194113@N00,2007-04-27 17:06:19.0,4.354019,50.850607,128
21356409@N00,2011-07-31 15:44:00.0,-3.355636,36.952498,187
37659856@N00,2004-05-11 16:23:03.0,167.897186,-44.656931,159
27949900@N04,2009-09-16 19:20:56.0,139.729485,35.66339,88
8616953@N04,2010-01-07 13:49:52.0,-3.189296,55.955446,206
9633002@N05,2007-12-23 03:07:00.0,2.120532,48.804913,64
77919685@N00,2004-05-31 08:52:38.0,137.636718,36.527294,88
102237062@N02,2013-09-06 14:39:47.0,-.174553,51.497777,206
12238277@N04,2013-02-02 08:58:49.0,151.206625,-33.858967,8
12786044@N00,2013-05-15 07:21:00.0,11.248,43.771033,85
44378953@N00,2012-01-16 15:12:34.0,34.781226,32.078042,84
66762699@N00,2012-07-28 07:36:33.0,-82.241506,9.338978,164
12175332@N06,2012-04-05 07:33:59.0,98.99433,18.788,194
51636307@N00,2007-08-03 11:27:22.0,121.146411,24.716895,245
60757641@N06,2011-05-29 07:44:01.0,35.202941,31.821564,138
85417391@N00,2006-07-22 04:38:13.0,4.896469,52.372559,153
35722886@N08,2010-05-22 18:01:25.0,5.545048,51.179558,128
31150609@N05,2009-07-25 01:28:53.0,23.280887,-19.588094,181
86412138@N00,2007-10-25 05:02:11.0,126.638031,37.476765,95
32234442@N00,2010-08-08 13:08:38.0,76.244945,9.962003,82
77179348@N00,2010-07-04 18:37:07.0,13.171516,52.418505,71
94869158@N00,2007-08-02 08:02:15.0,-3.174662,55.950593,206
49763823@N00,2008-08-23 21:13:28.0,13.412366,52.53833,71
15942874@N00,2011-05-14 15:09:27.0,27.486076,-29.339348,180
51378257@N00,2010-08-01 00:00:00.0,-112.782726,51.470316,23
64825499@N00,2007-04-08 17:54:55.0,-79.921331,9.274097,164
29404877@N00,2006-05-12 06:08:11.0,-4.779567,37.879138,187
70323761@N00,2012-07-18 11:40:12.0,-58.37212,-34.610237,7
61932398@N00,2011-11-24 11:49:42.0,-105.031903,19.449147,119
95158573@N00,2011-02-02 07:46:07.0,167.918407,-44.67793,159
35558720@N03,2013-08-01 15:30:57.0,4.770095,50.487674,128
23815669@N06,2008-10-03 08:09:26.0,139.700333,35.656,88
91772175@N00,2007-11-29 20:07:34.0,103.86466,13.413665,24
67272078@N00,1950-03-01 00:00:00.0,-79.88845,43.26099,23
8439753@N07,2012-07-21 10:33:33.0,-62.81587,17.899129,225
45066494@N06,2009-01-03 01:29:18.0,114.198117,22.23524,129
29465723@N00,1997-11-01 00:00:00.0,103.857192,13.430529,24
35468141611@N01,2006-03-11 21:04:45.0,11.582213,48.138087,71
38331851@N00,2013-10-28 17:49:04.0,11.25648,43.769761,85
56946277@N00,2011-07-04 21:03:32.0,139.721926,35.66085,88
61202488@N00,2007-10-14 06:32:16.0,12.980775,47.520214,71
21668613@N02,2012-05-25 20:25:10.0,-63.031162,18.254566,127
98714538@N00,1985-04-01 00:00:00.0,129.228057,35.835628,95
47693154@N05,2010-11-13 16:50:13.0,138.950614,-34.726235,8
44124439915@N01,2008-09-18 07:50:41.0,13.338688,52.505149,71
37346674@N00,2002-07-30 14:23:47.0,-116.476707,51.430467,23
90029322@N00,2013-12-10 08:37:49.0,34.771127,32.074138,84
16082542@N00,2004-02-17 11:40:59.0,44.239937,33.249674,87
31650243@N03,2006-06-13 21:12:42.0,-85.847854,10.288318,38
21203533@N00,2002-03-08 06:35:47.0,2.345237,48.860197,64
12515159@N07,2010-09-23 14:30:42.0,12.45326,41.902221,238
11513255@N00,2005-03-18 08:27:26.0,-3.703079,40.424996,187
60659954@N04,2012-07-02 11:27:53.0,-79.311869,43.866929,23
83343896@N00,2009-11-25 11:52:49.0,135.719089,35.035267,88
13918219@N00,2007-09-15 14:36:43.0,-79.306188,43.826219,23
82394503@N00,2008-06-16 04:16:01.0,19.045743,47.486642,80
11389536@N03,2012-03-22 13:17:25.0,-57.852405,-34.472334,210
80909175@N00,2010-11-27 10:55:29.0,-71.276979,46.785016,23
82418181@N00,2012-08-05 14:47:47.0,-63.831353,46.439005,23
41715395@N00,2006-07-26 07:42:41.0,16.358996,48.202965,56
49503179907@N01,2006-11-19 14:28:44.0,-.724539,51.339486,206
48698948@N00,2007-06-26 13:50:54.0,1.011514,44.938818,64
96863630@N00,2012-10-14 08:11:11.0,2.182918,41.383715,187
11103877@N00,2010-09-29 10:55:31.0,5.065732,49.792883,128
75174621@N00,2009-10-05 22:32:26.0,-123.469331,48.565286,23
61453198@N00,2007-01-27 04:07:38.0,10.395083,43.723319,85
23748404@N00,2011-04-30 10:23:59.0,-3.17405,51.481516,206
7457894@N04,2013-11-20 19:25:49.0,46.30248,-25.010172,107
25202192@N00,2009-09-06 08:46:50.0,-81.766326,43.313953,23
20266194@N00,2012-03-21 19:21:56.0,144.961963,-37.820887,8
48973657@N00,2012-11-02 17:56:22.0,114.161022,22.286837,129
58255533@N03,2011-10-21 12:04:13.0,120.616111,14.938611,172
70323761@N00,2011-05-19 12:15:26.0,135.781661,35.000888,88
36191381@N00,2006-10-07 12:04:48.0,25.833492,-17.924842,223
10512081@N00,2013-09-25 13:31:13.0,137.259725,36.14135,88
87933807@N00,2011-03-09 10:33:05.0,-113.150424,26.84942,119
48018609@N00,2008-03-25 16:51:30.0,135.750331,35.008065,88
